code_iata,code_oaci,name,iso_country,latitude_deg,longitude_deg
NVP,SWNA,Novo Aripuanã Airport,BR,-5.11803,-60.364899
BCR,SWNK,Novo Campo Airport,BR,-8.83456,-67.312401
NQL,SWNQ,Niquelândia Airport,BR,-14.434869,-48.491615
APS,SWNS,Anápolis Airport,BR,-16.363575,-48.9288
FBA,SWOB,Fonte Boa Airport,BR,-2.5326099395800004,-66.0831985474
PIN,SWPI,Parintins Airport,BR,-2.673521,-56.777625
PBQ,SWPM,Pimenta Bueno Airport,BR,-11.6416,-61.1791
PBX,SWPQ,Fazenda Piraguassu Airport,BR,-10.85935,-51.688152
IRZ,SWTP,Tapuruquara Airport,BR,-0.3786,-64.9923
TGQ,SWTS,Tangará da Serra Airport,BR,-14.662,-57.443744
AZL,SWTU,Fazenda Tucunaré Airport,BR,-13.465528,-58.866935
QHN,SWTY,Taguatinga Airport,BR,-12.433889389038086,-46.40055465698242
SQM,SWUA,São Miguel do Araguaia Airport,BR,-13.331299781799316,-50.197601318359375
VLP,SWVC,Vila Rica Airport,BR,-9.981057,-51.140358
MBK,SWXM,Orlando Villas Boas Regional Airport,BR,-10.170368,-54.953964
NOK,SWXV,Xavantina Airport,BR,-14.697778,-52.347246
IUP,SWYN,Apuí Airport,BR,-7.172773,-59.8396
SWZ,SWZ,Western Sydney International (Nancy Bird Walton) Airport,AU,-33.879444,150.739722
ITI,SWZL,Fazenda Americana Airport,BR,-18.147591,-41.715044
SXP,SXP,Nunam Iqua Airport,US,62.520599,-164.848006
AHL,SYAH,Aishalton Airport,GY,2.47403,-59.320786
NAI,SYAN,Annai Airport,GY,3.95944,-59.124199
SYB,SYB,Seal Bay Seaplane Base,US,58.373291,-152.201797
BMJ,SYBR,Baramita Airport,GY,7.370120048522949,-60.48799896240234
GFO,SYBT,Bartica A Airport,GY,6.358864,-58.655207
GEO,SYCJ,Cheddi Jagan International Airport,GY,6.49855,-58.254101
SYF,SYF,Silva Bay Seaplane Base,CA,49.151,-123.698
OGL,SYGO,Eugene F. Correira International Airport,GY,6.80628,-58.1059
IMB,SYIB,Imbaimadai Airport,GY,5.70811,-60.294201
KAI,SYKA,Kaieteur International Airport,GY,5.17275476456,-59.491481781
KAR,SYKM,Kamarang Airport,GY,5.86534,-60.614201
KRM,SYKR,Karanambo Airport,GY,3.752572,-59.30902
KRG,SYKS,Karasabai Airport,GY,4.03333,-59.533298
KTO,SYKT,Kato Airport,GY,4.64916,-59.832199
KKG,SYKZ,Konawaruk Airport,GY,5.2684,-58.995
SYL,SYL,Roberts Army Heliport,US,35.814999,-120.744003
LUB,SYLP,Lumid Pau Airport,GY,2.39392995834,-59.4410018921
LTM,SYLT,Lethem Airport,GY,3.37276,-59.789398
USI,SYMB,Mabaruma Airport,GY,8.20017,-59.777965
